Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET)
994929,008-181-06,"T2N R42E S2 F#65703 BEKO TRACT 2 ON ROS GOLDLINE & TONOPAH #3 LODES(THAT CERTAIN PARCEL OF LAND   
LYING WITHIN THE EXTERIOR BOUNDARIES OF TONOPAH#3 PATENTED LODE MINING CLAIM,U.S.    
MINERAL SURVEY#2079,PTNT #38875, IN THE TONOPAH MINING DISTRICT OF THE COUNTY OF NYE,  STATE OF NEVADA, DESCRIBED ON THAT CERTAIN  RECORD OF SURVEY APPEARING OF RECORD AS DOCUMENT NO.65703,IN THE OFFICE OF THE RECORDER           
OF NYE COUNTY, NEVADA, AS ""BEKO TRACT NO. 2"", AND MORE PARTICULARLY DESCRIBED AS FOLLOWS:BEGINNING 
AT COR.6 GOLDLINE 2092,THENCE S61 30'E, 298.37' TO THE TRUE POINT OF BEGINNING,THENCE S28 12'50""W,155' TO A POINT,    
THENCE S81 13'E, 162.07' TO A POINT, THENCE  N28 12'50""E, 100.32' TO A POINT, THENCE N61 30'W, 152.57' TO THE TRUE POINT OF BEGINNING) .42AC ",1222 TONOPAH AVE ,TONOPAH,89049," $ 1,810.00 ",  12:00 PM
994930,008-351-03,T3N R42E S35&36 L.24 BELMONT ADDITION   (.280 ACRES),0 DESERT QUEEN RD ,TONOPAH,89049," $ 6,405.00 ",  12:00 PM
994931,010-394-05,T11N R43E S29 L.25 .71AC SHOSHONE ESTATES  ,175 PABLO RD ,ROUND MOUNTAIN,89045," $ 1,992.00 ",  12:00 PM
994932,012-441-08,T8N R42E S4 F#232112 PARCEL 2  1.2 ACRES   ,5885 PEAVINE RD ,ROUND MOUNTAIN,89045," $ 1,758.00 ",  12:00 PM
994933,012-441-12,T8N R42E S4 F#232113 PARCEL 7  1.25 ACRES  ,5860 PEAVINE RD ,ROUND MOUNTAIN,89045," $ 4,334.00 ",  12:00 PM
994934,012-461-53,T10N R43E S4 F#245810 PARCEL 2A  4.48 ACRES   P#27790079                                    ,89 BROOKTREE CT ,ROUND MOUNTAIN,89045," $ 3,643.00 ",  12:00 PM
994935,018-243-05,B.25 L.1 (494.78 SQ FT) T12S R47E S7 ,,,89003," $ 2,055.00 ",  12:00 PM
994936,018-244-01,T12S R47E S7 B.27 L.1 & THE N ELY 30' OF L.2  (SAID S WLY LINE OF SAID N ELY 30' OF SAID L.2 IS MEASURED PARALLEL TO & AT RT. ANGLES  TO THE N ELY LINE)                               ,251 N BEACH ST ,BEATTY,89003," $ 2,602.00 ",  12:00 PM
994937,018-551-11,T8S R44E S9-PARCEL #H F#18941  18.71AC ,,,89003, $ 788.00 ,  12:00 PM
994938,019-071-17,T16S R48E S19&20 F#366811 P.3  9.75AC  ,296 N DIABLO DR ,ARMAGOSA VALLEY,89020," $ 1,337.00 ",  12:00 PM
994939,019-201-24,T16S R49E S36 F#711606 P.2    7.89AC ,4103 E SAGE ST ,ARMAGOSA VALLEY,89020," $ 5,013.00 ",  12:00 PM
994940,019-201-26,T16S R49E S36 F#711606 P.4    9.55AC  ,4233 E SAGE ST ,ARMAGOSA VALLEY,89020, $ 614.00 ,  12:00 PM
994941,019-281-01,T16S R49E S18 B.1 L.21 LATHROP WELLS MOBILE HOME SUBDIVISION-UNIT #1 .14AC                        ,1734 N HEATHER DR,ARMAGOSA VALLEY,89020," $ 1,044.00 ",  12:00 PM
994942,019-291-10,T16S R49E S18 B.2 L.6 LATHROP WELLS MOBILE HOME  SUBDIVISION-UNIT #1 .14AC,1689 N HEATHER DR ,ARMAGOSA VALLEY,89020, $ 737.00 ,  12:00 PM
994943,019-291-12,T16S R49E S18 B.2 L.4-LATHROP WELLS MOBILE HOME  SUBDIVISION-UNIT #1 .14AC ,1713 N HEATHER DR ,ARMAGOSA VALLEY,89020, $ 731.00 ,  12:10 PM
994944,019-421-05,T18S R49E S1 GOVT L.2(NW NE) 40AC & GOVT L.6(SW  NE) 37.29AC TOTAL 77.29 AC P#1005070,4889 E SPRING MEADOWS RD S ,ARMAGOSA VALLEY,89020," $ 2,090.00 ",  12:10 PM
994945,019-421-09,"T18S R49E S1  LOTS 22-43, 45-52, 54-59 FURTHER    
DESCRIBED AS 36 MILLSITE CLAIMS IN THE UNKNOWN    
MINING DISTRICT P#27-2000-0064  N#52340           
LOT 22 (REDO 22-A)                                LOT 23 (REDO 23-A)                                LOT 24 (REDO 24-A)                                LOT 25 (REDO 25-A)                                
LOT 26 (REDO 26-A)                                LOT 27 (REDO 27-A)                                LOT 28 (REDO 28-A)                                LOT 29 (REDO 29-A)                                
LOT 30 (REDO 30-A)                                LOT 31 (REDO 31-A)                                LOT 32 (REDO 32-A)                                LOT 33 (REDO 33-A)                                
LOT 34 (REDO 34-A)                                LOT 35 (REDO 35-A)                                LOT 36 (REDO 36-A)                                LOT 37 (REDO 37-A)    
LOT 38 (REDO 38-A)                                LOT 39 (REDO 39-A)                                LOT 40 (REDO 40-A)                                LOT 41 (REDO 41-A)    
LOT 42 (REDO 42-A)                                LOT 43 (REDO 43-A)                                LOT 45 (REDO 45-A)                                LOT 46 (REDO 46-A)    
LOT 47 (REDO 47-A)                                LOT 48 (REDO 48-A)                                LOT 49 (REDO 49-A)                                LOT 50 (REDO 50-A)    
LOT 51 (REDO 51-A)                                LOT 52 (REDO 52-A)                                LOT 54 (REDO 54-A)                                LOT 55 (REDO 55-A)  
LOT 56 (REDO 56-A)                                LOT 57 (REDO 57-A)                                LOT 58 (RED0 58-A)                                 LOT 59 (REDO 59-A)  ",8161 S NEVADA HIGHWAY 373 ,ARMAGOSA VALLEY,89020," $ 4,013.00 ",  12:10 PM
994946,019-551-17,T16S R48E S15-NE SE NW NW  2.5 ACRES  P#1231216 ,3782 W BRUSHWOOD ST ,ARMAGOSA VALLEY,89020," $ 1,152.00 ",  12:10 PM
994947,019-661-19,T16S R48E S15  F#521528 P.2    19.41AC  ,1320 N VALLEY VIEW BLVD ,ARMAGOSA VALLEY,89020," $ 2,269.00 ",  12:10 PM
994948,019-661-27,T16S R48E S15  F#648857 L2     2.3AC,1920 N SUNDALE LN ,ARMAGOSA VALLEY,89020," $ 1,224.00 ",  12:10 PM
994949,019-661-29,T16S R48E S15  F#648857 L.4    2.5AC  ,1790 N SUNDALE LN ,ARMAGOSA VALLEY,89020," $ 1,257.00 ",  12:10 PM
994950,019-661-37,T16S R48E S15  F#648859 L.4    2.0AC  ,1790 N CYPRESS ST ,ARMAGOSA VALLEY,89020," $ 1,177.00 ",  12:10 PM
994951,019-661-40,T16S R48E S15  F#695637 P.3    2.27AC ,1599 N VASSAR RD ,ARMAGOSA VALLEY,89020," $ 1,148.00 ",  12:10 PM
994952,019-661-42,T16S R48E S15  F#695638 P.1    2.06AC ,1720 N SUNDALE LN ,ARMAGOSA VALLEY,89020," $ 1,090.00 ",  12:10 PM
994953,019-661-44,T16S R48E S15  F#695638 P.3    2.45AC ,1630 N SUNDALE LN ,ARMAGOSA VALLEY,89020," $ 1,165.00 ",  12:10 PM
994954,019-661-47,T16S R48E S15  F#695639 P.2    2.26AC  ,1659 N SUNDALE LN ,ARMAGOSA VALLEY,89020," $ 1,129.00 ",  12:10 PM
994955,019-661-49,T16S R48E S15  F#695639 P.4     2.27AC ,3342 W SILVERADO RD ,ARMAGOSA VALLEY,89020," $ 1,131.00 ",  12:10 PM
994956,019-661-51,T16S R48E S15  F#695640 P.2     2.27AC  ,1660 N CYPRESS ST ,ARMAGOSA VALLEY,89020," $ 1,148.00 ",  12:10 PM
994957,019-661-53,T16S R48E S15  F#695640 P.4     2.06AC  ,3282 W SILVERADO RD ,ARMAGOSA VALLEY,89020," $ 1,106.00 ",  12:10 PM
994958,019-851-21,T16S R48E S3 F#722342 P.1       33.26AC ,3844 W HARVEST ST ,ARMAGOSA VALLEY,89020," $ 1,231.00 ",  12:10 PM
994959,021-211-01,"T17S R52E S36 B.68 L.1-7   30,175sf +/-       (.693 ACRES)       ",14585 N POLK AVE ,CRYSTAL,89060," 2,117.00 ",  12:10 PM
994960,021-212-01,"T17S R52E S36 B.62 L.1-8   34,000sf +/-       (.871 ACRES)",14505 N POLK AVE ,CRYSTAL,89060," 2,178.00 ",  12:10 PM
994961,021-213-01,"T17S R52E S36 B.56 L.1-8     34,000sf +/-     (.871 ACRES)",14419 N POLK AVE ,CRYSTAL,89060," 2,117.00 ",  12:10 PM
994962,021-214-01,T17S R52E S36 B.55 L.1-16 1.8AC  ,14419 N HOWARD AVE ,CRYSTAL,89060," 2,685.00 ",  12:10 PM
994963,021-215-01,T17S R52E S36 B.61 L.1-16  1.8AC  ,14505 N HOWARD AVE ,CRYSTAL,89060," 2,685.00 ",  12:10 PM
994964,021-216-01,T17S R52E S36 B.67 L.1-14  1.6AC ,14585 N HOWARD AVE ,CRYSTAL,89060," 2,559.00 ",  12:10 PM
994965,021-221-01,T17S R52E S36 B.50 L.1-8  ,14331 N POLK AVE ,CRYSTAL,89060," 2,143.00 ",  12:10 PM
994966,021-222-01,T17S R52E S36 B.44 L.1-8  ,14245 N POLK AVE ,CRYSTAL,89060," 2,143.00 ",  12:10 PM
994967,021-223-01,T17S R52E S36 B.38 L.1-8   ,14161 N POLK AVE ,CRYSTAL,89060," 2,143.00 ",  12:20 PM
994968,021-226-01,"T17S R52E S36 B.49 L.1-16   80,000sf               (1.837 ACRES     ",14331 N HOWARD AVE ,CRYSTAL,89060," 2,714.00 ",  12:20 PM
994969,021-229-01,"T17S R52E S36 B.36 L.8,10,12,14&16 - PT  .065AC ",14180 N HOWARD AVE ,CRYSTAL,89060," 1,977.00 ",  12:20 PM
994970,021-231-03,T17S R52E S36 B.65 pt L.12 & 14 EAST 1/2 LESS  STATE HIGHWAY 160  .109AC  JOHNNIE TOWNSITE  ,14608 N GOLDEN AVE ,CRYSTAL,89060, 640.00 ,  12:20 PM
994971,021-233-01,T17S R52E S36 B.52 L.1-16  1.837AC  ,14417 N GLOBE AVE ,CRYSTAL,89060," 2,714.00 ",  12:20 PM
994972,021-234-01,T17S R52E S36 B.58 L.1-16  1.837AC ,14501 N GLOBE AVE ,CRYSTAL,89060," 2,695.00 ",  12:20 PM
994973,021-235-02,"T17S R52E S36 B.64 L.1, 3, 5, 7, 9, PT L.2, 4, 11  & 13 WEST 1/2  .8092AC  JOHNNIE TOWNSITE          ",14581 N GLOBE AVE ,CRYSTAL,89060," 1,980.00 ",  12:20 PM
994974,021-236-01,T17S R52E S36 B.63 L.1-14  1.345AC ,14580 N GLOBE AVE ,CRYSTAL,89060," 2,565.00 ",  12:20 PM
994975,021-237-01,T17S R52E S36 B.57 L.1-16  1.516AC  ,14500 N GLOBE AVE ,CRYSTAL,89060," 2,695.00 ",  12:20 PM
994976,021-238-01,T17S R52E S36 B.51 L.1-16  1.516AC  ,14416 N GLOBE AVE ,CRYSTAL,89060," 2,714.00 ",  12:20 PM
994977,021-241-01,"T17S R52E S36 B.47 L.1,3,5,7,9,11,13&15 (PT)   .513AC                                         ",14331 N JOHNNIE AVE ,CRYSTAL,89060," 2,204.00 ",  12:20 PM
994978,021-242-01,"T17S R52E S36 B.41 L.3,5,7,9,11,13&15 ALL & PART   L.2,4,6,8  .023AC                                 ",14245 N JOHNNIE AVE ,CRYSTAL,89060," 2,063.00 ",  12:20 PM
994979,021-243-02,"T17S R52E S36 B.35 L.1,3,5,7,9,11&15 ALL & PART L.2,4,6,8,10,12,14&16  1.206AC                  ",14161 N HOWARD AVE ,CRYSTAL,89060," 2,143.00 ",  12:20 PM
994980,021-244-02,"T17S R52E S36 B.34 L.1,3,5-15  1.6AC  ",14161 N GLOBE AVE ,CRYSTAL,89060," 2,521.00 ",  12:20 PM
994981,021-245-01,T17S R52E S36 B.40 L.1-16  1.8AC  ,14245 N GLOBE AVE ,CRYSTAL,89060," 2,714.00 ",  12:20 PM
994982,021-246-01,T17S R52E S36 B.46 L.1-15  1.7AC ,14331 N GLOBE AVE ,CRYSTAL,89060," 2,647.00 ",  12:20 PM
994983,021-247-01,T17S R52E S36 B.45 L.1-16  1.5AC    ,14330 N GLOBE AVE ,CRYSTAL,89060," 2,716.00 ",  12:20 PM
994984,021-248-01,T17S R52E S36 B.39 L.1-16  1.5AC ,14244 N GLOBE AVE ,CRYSTAL,89060," 3,108.00 ",  12:20 PM
994985,021-249-01,T17S R52E S36 B.33 L.1-16  1.5AC   ,14160 N GLOBE AVE ,CRYSTAL,89060," 2,716.00 ",  12:20 PM
994986,021-251-01,T18S R52E S1  B.32 L.1-8  .781 AC ,14075 N POLK AVE ,CRYSTAL,89060," 2,342.00 ",  12:20 PM
994987,021-254-01,"T18S R52E S1  B.19 ALL L.2,4,6,8,10,12,14&16 &  PART L.3,5,7,9,11,13&15  .909 AC               ",13900 N POLK AVE ,CRYSTAL,89060," 2,342.00 ",  12:20 PM
994988,021-257-01,"T18S R52E S1  B.18 PART L.1,3,5,7,9,11,13&15   .287AC                                        ",13901 N GOLDEN AVE ,CRYSTAL,89060," 2,266.00 ",  12:20 PM
994989,021-261-01,T18S R52E S1  B.16 L.1-8   .781 AC ,13821 N POLK AVE ,CRYSTAL,89060," 2,342.00 ",  12:20 PM
994990,021-262-01,T18S R52E S1  B.12 L.1-8  .781 AC  ,13731 N POLK AVE ,CRYSTAL,89060," 2,342.00 ",  12:20 PM
994991,021-264-01,"T18S R52E S1  B.11 PART L.2,4,6,8,10,12,14&16  .212ac                                        ",13730 N POLK AVE ,CRYSTAL,89060," 2,238.00 ",  12:30 PM
994992,021-265-01,"T18S R52E S1  B.15 PART L.2,4,6,8,10,12,14&16  .642AC                                         ",13820 N POLK AVE ,CRYSTAL,89060," 2,342.00 ",  12:30 PM
994993,021-266-02,"T18S R52E S1  B.14 E 1/2 L.1,3,5,7,9,11 &  L.13&15 EXCLUDING PORTIONS OF HIGHWAYS    .372AC                                       ",13847 N GOLDEN AVE ,CRYSTAL,89060," 2,024.00 ",  12:30 PM
994994,021-267-02,"T18S R52E S1  B.10 PART L.2,4,6,8,10,12,14&16 & E 1/2 L.11,13&15    .400 AC  ",3105 W HARMON ST ,CRYSTAL,89060," 2,395.00 ",  12:30 PM
994995,021-268-02,"T18S R52E S1  B.4 L.2,4,6,8,10,12&14  .605AC                                ",3095 W LLOYD ST ,CRYSTAL,89060," 2,265.00 ",  12:30 PM
994996,021-271-01,T18S R52E S1  B.29 L.1-16  1.7AC  ,14075 N JOHNNIE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
994997,021-274-01,T18S R52E S1  B.B  1.8AC,13901 N GLOBE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
994998,021-275-02,"T18S R52E S1  B.22 L.1,3,5-16  1.6AC  ",13991 N GLOBE AVE ,CRYSTAL,89060," 2,665.00 ",  12:30 PM
994999,021-276-01,T18S R52E S1  B.28 L.1-16 1.8AC  ,14075 N GLOBE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995000,021-277-01,T18S R52E S1  B.27 L.1-16  1.5AC ,14074 N GLOBE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995001,021-278-01,T18S R52E S1  B.21 L.1-16  1.5AC  ,13990 N GLOBE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995002,021-279-01,T18S R52E S1  B.17 L.1-16  1.5AC ,13900 N GLOBE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995003,021-281-01,T18S R52E S1  B.C L.1-32  1.8AC  ,13821 N JOHNNIE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995004,021-282-01,T18S R52E S1  B.9 L.1-16  1.8AC  ,13731 N JOHNNIE AVE ,CRYSTAL,89060," 2,987.00 ",  12:30 PM
995005,021-286-01,T18S R52E S1  B.A  L.13-16   .115AC  ,13846 N JOHNNIE AVE ,CRYSTAL,89060," 1,976.00 ",  12:30 PM
995006,021-286-04,T18S R52E S1  B.A L.7&23 .057AC  ,13810 N JOHNNIE AVE ,CRYSTAL,89060," 1,837.00 ",  12:30 PM
995007,021-286-06,T18S R52E S1  B.A L.2&3  .115AC  ,13786 N JOHNNIE AVE ,CRYSTAL,89060," 1,857.00 ",  12:30 PM
995008,021-286-09,T18S R52E S1  B.A L.9 .057AC  ,13820 N JOHNNIE AVE ,CRYSTAL,89060," 1,783.00 ",  12:30 PM
995009,027-011-01,T18S R53E S15-NW  P#8901       160AC ,11751 N BLAGG RD ,PAHRUMP,89060," $ 2,441.00 ",  12:30 PM
995010,027-611-34,T20S R52E S35 F#487265 TRACT 2  12.3AC   P#12445                                  ,4101 W NEVADA HIGHWAY 372 ,PAHRUMP,89048," $ 1,166.00 ",  12:30 PM
995011,028-096-05,T18S R53E S20 L.90 MOUNTAIN VIEW ESTATES ,1590 W ZIRCONIA RD ,PAHRUMP,89060, $ 923.00 ,  12:30 PM
995012,028-125-03,T18S R53E S20 L.203 MOUNTAIN VIEW ESTATES  ,1341 W LAPIS RD ,PAHRUMP,89060, $ 859.00 ,  12:30 PM
995013,028-432-12 RES,T20S R52E S1 U.1 P.132 VEGAS ACRES UNIT 1   ,3140 W OUR RD ,PAHRUMP,89060," $ 1,671.00 ",  12:30 PM
995014,028-591-23,T20S R52E S26 U.2 P.83 VEGAS ACRES ,4360 W CODY RD ,PAHRUMP,89048," $ 1,185.00 ",  12:30 PM
995015,028-603-06,T20S R52E S26 U.2 P.120 VEGAS ACRES ,4200 W MAGNET RD ,PAHRUMP,89048," $ 1,203.00 ",  12:40 PM
995016,028-614-04 RES,T20S R52E S26 U.2 P.211 VEGAS ACRES  ,4240 W TIGER RD ,PAHRUMP,89048," $ 2,386.00 ",  12:40 PM
995017,028-632-05**,T20S R52E S13 U.1 P.33 CHARLESTON PARK RANCHOS ,3021 W RETREAD RD ,PAHRUMP,89048," $ 3,944.00 ",  12:40 PM
995018,028-643-08,T20S R52E S13 U.1 P.7  CHARLESTON PARK RANCHOS ,3201 W WILSON RD ,PAHRUMP,89048," $ 1,185.00 ",  12:40 PM
995019,028-703-04 RES,T20S R52E S13 U.2 P.74 CHARLESTON PARK RANCHOS  ,3791 W DYER RD ,PAHRUMP,89048," $ 3,103.00 ",  12:40 PM
995020,028-732-25,T20S R52E S14 U.3 P.62 CHARLESTON PARK RANCHOS ,4080 W MEDICINE MAN RD ,,," $ 27,059.00 ",  12:40 PM
995021,028-791-04,T20S R52E S24 U.7 P.17  CHARLESTON PARK RANCHOS ,3271 W LAURENCE RD ,PAHRUMP,89048," $ 1,185.00 ",  12:40 PM
995022,028-861-15**,T20S R52E S12 L.15 GREGORY TIM HAFEN   ,50 N MURPHY ST ,PAHRUMP,89060," $ 2,319.00 ",  12:40 PM
995023,029-071-33,T19S R53E S15  B.9 L.44  COUNTRY VIEW ESTATES  ,5800 N RHYOLITE AVE ,PAHRUMP,89060, $ 932.00 ,  12:40 PM
995024,029-231-11,T19S R53E S15 U.1 B.9 L.4  1.2 ACRES    COUNTRY  PLACE II                                         ,201 E CHARLESTON VIEW AVE ,PAHRUMP,89060," $ 1,214.00 ",  12:40 PM
995025,029-453-01,T19S R53E S19 L.194  2.3ACRES  VALLEY VIEW ACRES ,2271 W PALM DR ,PAHRUMP,89060," $ 1,359.00 ",  12:40 PM
995026,029-462-14*,T19S R53E S30 L.93   2.3ACRES    VALLEY VIEW ACRES                                           ,2670 W TONYA DR ,PAHRUMP,89060," $ 2,600.00 ",  12:40 PM
995027,029-491-24*,T19S R53E S30 L.70 E1/2  1.00AC  VALLEY VIEW ACRES                                          ,2451 W TONYA DR ,PAHRUMP,89060," $ 1,332.00 ",  12:40 PM
995028,029-492-31**,T19S R53E S30 L.37 E1/2  1.159ACRES VALLEY VIEW ACRES                                           ,2101 W MCMURRAY DR ,PAHRUMP,," $ 6,803.00 ",  12:40 PM
995029,029-571-10,T19S R53E S31 L.30 2.351 ACRES GOOSE NECK PARK  ,2211 W TOUGH GIRL RD ,PAHRUMP,89060, $ 997.00 ,  12:40 PM
995030,029-661-05,T19S R53E S11 L.13  GREEN VALLEY RANCHETTES ,1710 E CHESS WAY ,PAHRUMP,89060, $ 876.00 ,  12:40 PM
995031,029-668-06,T19S R53E S11 L.74  GREEN VALLEY RANCHETTES  ,1650 E JENT RD ,PAHRUMP,89060, $ 882.00 ,  12:40 PM
995032,029-675-02,T19S R53E S11 L.114  GREEN VALLEY RANCHETTES ,1591 E MOSES RD ,PAHRUMP,89060, $ 870.00 ,  12:40 PM
995033,030-022-19,T19S R53E S9 U.1 B.48 L.34  CALVADA VALLEY NORTH  ,6790 N PASTEL AVE ,PAHRUMP,89060, $ 866.00 ,  12:40 PM
995034,030-032-22,"T19S R53E S9 U.1 B.48 L.31  CALVADA VALLEY NORTH  8,800SF                                           ",6820 N PASTEL AVE ,PAHRUMP,89060, $ 848.00 ,  12:40 PM
995035,030-052-01,"T19S R53E S9 U.2 B.72 L.9   CALVADA VALLEY NORTH  8,490.55sf +/-   (.195 ACRES)                ",491 E PARQUE AVE ,PAHRUMP,," $ 2,557.00 ",  12:40 PM
995036,030-053-08,"T19S R53E S9 U.2 B.73 L.56  CALVADA VALLEY NORTH  9,486.40sf +/-                                    ",520 W PEACHTREE LN ,PAHRUMP,89060, $ 866.00 ,  12:40 PM
995037,030-061-14,"T19S R53E S9 U.2 B.72 L.23  CALVADA VALLEY NORTH 8,800sf      (.202 ACRES)                                   ",420 E FARM LN ,PAHRUMP,," $ 2,151.00 ",  12:40 PM
995038,030-063-16,"T19S R53E S9 U.2 B.73 L.53  CALVADA VALLEY NORTH 8,9010sf                                         ",470 W PEACHTREE LN ,PAHRUMP,89060, $ 866.00 ,  12:40 PM
995039,030-063-25,"T19S R53E S9 U.2 B.73 L.44  CALVADA VALLEY NORTH   8,800sf      (.202 ACRES)                                             ",350 W PEACHTREE LN ,PAHRUMP,," $ 2,936.00 ",  12:50 PM
995040,030-071-24,"T19S R53E S9 U.2 B.74 L.24  CALVADA VALLEY NORTH 8,800sf                                          ",400 W WILWOOD ST ,PAHRUMP,89060, $ 859.00 ,  12:50 PM
995041,030-073-02,"T19S R53E S9 U.2 B.69 L.12  CALVADA VALLEY NORTH  8,800sf        (.202 ACRES)                                 ",321 W WILWOOD ST ,PAHRUMP,," $ 2,200.00 ",  12:50 PM
995042,030-073-19,"T19S R53E S9 U.2 B.69 L.19  CALVADA VALLEY NORTH   8,800sf         (.202 ACRES)                                          ",370 W OESTE ST ,PAHRUMP,," $ 2,200.00 ",  12:50 PM
995043,030-073-22,"T19S R53E S9 U.2 B.69 L.16  CALVADA VALLEY NORTH  8,800sf           (.202 ACRES)                                               ",330 W OESTE ST ,PAHRUMP,," $ 2,689.00 ",  12:50 PM
995044,030-081-03,"T19S R53E S9 U.2 B.76 L.22  CALVADA VALLEY NORTH   10,450sf      (.240 ACRES)                                    ",6820 N PATHWAY DR  ,PAHRUMP,," $ 2,200.00 ",  12:50 PM
995045,030-081-20,"T19S R53E S9 U.2 B.76 L.5   CALVADA VALLEY NORTH  8,800sf          (.202 ACRES)                                         ",6851 N PROVO DR ,PAHRUMP,," $ 2,936.00 ",  12:50 PM
995046,030-083-02,"T19S R53E S9 U.2 B.73 L.21  CALVADA VALLEY NORTH  8,800sf         (.202 ACRES)                                               ",281 W FARM LN ,PAHRUMP,," $ 2,200.00 ",  12:50 PM
995047,030-083-05,"T19S R53E S9 U.2 B.73 L.24  CALVADA VALLEY NORTH  10,491.25sf +/-                                   ",6900 N MADDEN PL ,PAHRUMP,89060, $ 854.00 ,  12:50 PM
995048,030-092-03,"T19S R53E S9 U.2 B.78 L.11  CALVADA VALLEY NORTH    8,800sf         (.202 ACRES)                              ",6801 N CATAMARCA AVE ,PAHRUMP,," $ 2,446.00 ",  12:50 PM
995049,030-092-07,"T19S R53E S9 U.2 B.78 L.15  CALVADA VALLEY NORTH     8,800sf         (.202 ACRES)                              ",6861 N CATAMARCA AVE ,PAHRUMP,," $ 2,029.00 ",  12:50 PM
995050,030-101-10,"T19S R53E S9 U.1 B.46 L.4   CALVADA VALLEY NORTH  8,794.50sf +/-                                    ",6641 N PARQUE AVE ,PAHRUMP,89060, $ 757.00 ,  12:50 PM
995051,030-101-15,"T19S R53E S9 U.1 B.46 L.54  CALVADA VALLEY NORTH    10,450sf      (.240 ACRES)            ",6570 N SAN BLAS LN ,PAHRUMP,," $ 2,446.00 ",  12:50 PM
995052,030-112-03,"T19S R53E S9 U.1 B.44 L.28  CALVADA VALLEY NORTH    8,800sf +/-     (.202 ACRES)                  ",6411 N. IMPERIAL PL ,PAHRUMP,89060," $ 1,966.00 ",  12:50 PM
995053,030-112-11,"T19S R53E S9 U.1 B.44 L.36  CALVADA VALLEY NORTH 8,800sf                                          ",6470 N HEWITT AVE ,PAHRUMP,89060, $ 854.00 ,  12:50 PM
995054,030-113-02,T19S R53E S9 U.1 B.44 L.43  CALVADA VALLEY NORTH  .204ac                                           ,6401 N HEWITT AVE ,PAHRUMP,," $ 2,446.00 ",  12:50 PM
995055,030-113-08,"T19S R53E S9 U.1 B.44 L.49  CALVADA VALLEY NORTH     8,800sf +/-   (.202 ACRES)        ",6491 N HEWITT AVE ,PAHRUMP,," $ 2,736.00 ",  12:50 PM
995056,030-121-21,"T19S R53E S9 U.1 B.44 L.184  CALVADA VALLEY NORTH  10,450sf                                           ",6271 N IMPERIAL PL ,PAHRUMP,89060, $ 848.00 ,  12:50 PM
995057,030-121-28,"T19S R53E S9 U.1 B.44 L.177  CALVADA VALLEY NORTH  8,800sf        (.202 ACRES)                                            ",6300 N HEWITT AVE ,PAHRUMP,," $ 2,125.00 ",  12:50 PM
995058,030-131-10,T19S R53E S9 U.1 B.44 L.153  CALVADA VALLEY NORTH  .271ac                                            ,6370 N ITASCA PL ,PAHRUMP,," $ 2,125.00 ",  12:50 PM
995059,030-151-07,T19S R53E S9 U.1 B.57 L.109 .296AC CALVADA VALLEY NORTH                                             ,6441 N ALPACA AVE ,PAHRUMP,89060, $ 868.00 ,  12:50 PM
995060,030-192-07,T19S R53E S9 U.1 B.54 L.7 .202AC CALVADA VALLEY   NORTH             (.202 ACRES)                               ,6700 N NEWBY LN ,PAHRUMP,," $ 2,743.00 ",  12:50 PM
